Date,Open Price,High Price,Low Price,Close Price
1-January-2021,47785.28,47980.36,47771.15,47868.98
31-December-2020,47753.11,47896.97,47602.12,47751.33
30-December-2020,47789.03,47807.85,47358.36,47746.22
29-December-2020,47466.62,47714.55,47361.9,47613.08
28-December-2020,47153.59,47406.72,47148.24,47353.75
24-December-2020,46743.49,47053.4,46539.02,46973.54
23-December-2020,46072.3,46513.32,45899.1,46444.18
22-December-2020,45529.61,46080.18,45112.19,46006.69
21-December-2020,46932.18,47055.69,44923.08,45553.96
18-December-2020,47026.02,47026.02,46630.31,46960.69
17-December-2020,46774.32,46992.57,46627.6,46890.34
16-December-2020,46573.31,46704.97,46402.2,46666.46
15-December-2020,46287.39,46350.3,45841.67,46263.17
14-December-2020,46284.7,46373.34,45951.53,46253.46
11-December-2020,46060.32,46309.63,45706.22,46099.01
10-December-2020,45999.42,46043.97,45685.87,45959.88
9-December-2020,45891.04,46164.1,45792.01,46103.5
8-December-2020,45568.8,45742.23,45335.17,45608.51
7-December-2020,45099.92,45458.92,45024.47,45426.97
4-December-2020,44665.91,45148.28,44665.91,45079.55
3-December-2020,44902.02,44953.01,44551.42,44632.65
2-December-2020,44729.52,44729.64,44169.97,44618.04
1-December-2020,44435.83,44730.79,44118.1,44655.44
27-November-2020,44325.03,44407.28,43995.41,44149.72
26-November-2020,43967.59,44361.78,43582.4,44259.74
25-November-2020,44749.73,44825.37,43757.97,43828.1
24-November-2020,44341.19,44601.63,44247.12,44523.02
23-November-2020,44164.17,44271.15,43747.22,44077.15
20-November-2020,43732.14,44013.02,43453.75,43882.25
19-November-2020,43902.24,44230,43518.11,43599.96
18-November-2020,43978.58,44215.49,43785.78,44180.05
17-November-2020,44095.85,44161.16,43699.22,43952.71
14-November-2020,43815.45,43830.93,43535.77,43637.98
13-November-2020,43298.92,43522.25,43053.37,43443
12-November-2020,43291.89,43543.96,43127.55,43357.19
11-November-2020,43444.06,43708.47,42970.21,43593.67
10-November-2020,42959.25,43316.44,42660.09,43277.65
9-November-2020,42273.97,42645.33,42263.64,42597.43
6-November-2020,41438.76,41954.93,41383.29,41893.06
5-November-2020,41112.12,41370.91,41030.17,41340.16
4-November-2020,40171.71,40693.51,40076.47,40616.14
3-November-2020,39990.75,40354.73,39952.79,40261.13
2-November-2020,39880.38,39968.03,39334.92,39757.58
30-October-2020,39779.82,39988.25,39241.87,39614.07
29-October-2020,39537.17,40010.83,39524.25,39749.85
28-October-2020,40664.35,40664.35,39774.6,39922.46
27-October-2020,40199.08,40555.6,39978.39,40522.1
26-October-2020,40649.76,40724.4,39948.29,40145.5
23-October-2020,40728.39,40811.12,40590.9,40685.5
22-October-2020,40531.31,40721.57,40309.05,40558.49
21-October-2020,40767.14,40976.02,40150.48,40707.31
20-October-2020,40420.29,40732.01,40305.59,40544.37
19-October-2020,40318.57,40519.48,40211.22,40431.6
16-October-2020,39936.61,40125.71,39699.42,39982.98
15-October-2020,41048.05,41048.05,39667.47,39728.41
14-October-2020,40623.19,40880.25,40279.55,40794.74
13-October-2020,40592.54,40786.82,40461.97,40625.51
12-October-2020,40716.95,40905.49,40387.4,40593.8
9-October-2020,40226.25,40585.36,40066.54,40509.49
8-October-2020,40204.32,40468.88,40062.23,40182.67
7-October-2020,39633.19,39968.04,39450.82,39878.95
6-October-2020,39336.34,39623.76,39191.1,39574.57
5-October-2020,38956.78,39263.85,38819.89,38973.7
1-October-2020,38410.2,38738.89,38410.2,38697.05
30-September-2020,38068.89,38236.34,37828.11,38067.93
29-September-2020,38176.86,38235.94,37831.35,37973.22
28-September-2020,37756.25,38035.87,37544.05,37981.63
25-September-2020,36991.89,37471.17,36730.52,37388.66
24-September-2020,37282.18,37304.26,36495.98,36553.6
