Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2019,526.10,526.10,501.90,506.35,510.841483516483516483,21840,557,11156778.00,3745,17.15,24.20,-19.75
7-June-2019,526.10,538.00,521.15,524.85,528.488119484046164290,7365,250,3892315.00,777,10.55,16.85,-1.25
6-June-2019,538.30,543.85,530.00,531.15,535.439065108514190317,4792,228,2565824.00,777,16.21,13.85,-7.15
4-June-2019,539.90,545.75,533.80,535.50,537.897969807391983342,7684,257,4133208.00,1006,13.09,11.95,-4.40
3-June-2019,534.20,541.70,534.20,538.50,538.606119882632387872,7157,266,3854804.00,2053,28.69,7.50,4.30
31-May-2019,549.45,549.45,531.50,538.60,539.111160294361755104,18073,1234,9743356.00,5390,29.82,17.95,-10.85
30-May-2019,546.05,551.95,541.50,549.95,547.743834178765086583,11434,419,6262903.00,2732,23.89,10.45,3.90
29-May-2019,552.75,557.10,533.35,545.05,546.651142762504140443,15095,1351,8251699.00,4497,29.79,23.75,-7.70
28-May-2019,553.00,568.00,547.75,556.80,558.229625374944157253,15669,439,8746900.00,2977,19.00,20.25,3.80
27-May-2019,551.00,557.00,547.60,551.50,552.741181552046839756,20837,426,11517468.00,4545,21.81,9.40,0.50
24-May-2019,533.00,550.60,530.00,547.80,543.828517190466146382,9482,287,5156582.00,2615,27.58,20.60,14.80
23-May-2019,545.50,545.55,527.90,530.95,532.935061262959472196,10610,355,5654441.00,1499,14.13,17.65,-14.55
22-May-2019,548.00,548.00,532.00,535.00,536.358405315614617940,7525,219,4036097.00,1078,14.33,16.00,-13.00
21-May-2019,556.20,558.95,541.00,542.80,549.494429959706091490,4219,170,2318317.00,900,21.33,17.95,-13.40
